rule_id,fitness,displacement,final_bits,bit_ratio,parents,mutated
rule_000,0.0,0.0,320,0.984615,rule_002xrule_051,True
rule_001,0.0,0.0,328,1.009231,rule_002xrule_051,False
rule_002,0.36059001,0.360593,326,1.003077,rule_002xrule_051,False
rule_003,0.0,0.0,306,0.941538,rule_002xrule_051,False
rule_004,0.31270181,0.317439,285,0.876923,rule_002xrule_051,False
rule_005,0.0,0.0,329,1.012308,rule_002xrule_051,False
rule_006,0.0,0.0,279,0.858462,rule_002xrule_051,False
rule_007,0.0,0.0,308,0.947692,rule_002xrule_051,False
rule_008,0.0,0.0,328,1.009231,rule_002xrule_051,False
rule_009,0.31270181,0.317439,285,0.876923,rule_002xrule_051,False
rule_010,0.0035161,0.003526,308,0.947692,rule_002xrule_051,False
rule_011,0.0,0.0,329,1.012308,rule_002xrule_051,False
rule_012,0.0,0.0,320,0.984615,rule_002xrule_051,False
rule_013,0.0,0.0,314,0.966154,rule_002xrule_051,False
rule_014,0.0,0.0,327,1.006154,rule_002xrule_051,False
rule_015,0.0,0.0,302,0.929231,rule_002xrule_051,False
rule_016,0.0,0.0,311,0.956923,rule_002xrule_051,False
rule_017,0.0,0.0,329,1.012308,rule_002xrule_051,False
rule_018,0.0,0.0,332,1.021538,rule_002xrule_051,False
rule_019,0.01083206,0.010886,302,0.929231,rule_002xrule_051,False
rule_020,0.3096233,0.313214,290,0.892308,rule_002xrule_051,False
rule_021,0.0,0.0,311,0.956923,rule_002xrule_051,False
rule_022,0.0,0.0,311,0.956923,rule_002xrule_051,False
rule_023,0.0,0.0,314,0.966154,rule_002xrule_051,False
rule_024,0.0,0.0,328,1.009231,rule_002xrule_051,False
rule_025,0.0,0.0,282,0.867692,rule_002xrule_051,False
rule_026,0.0,0.0,308,0.947692,rule_002xrule_051,False
rule_027,0.0,0.0,279,0.858462,rule_002xrule_051,False
rule_028,0.0,0.0,327,1.006154,rule_002xrule_051,False
rule_029,0.0,0.0,328,1.009231,rule_002xrule_051,False
rule_030,0.0,0.0,328,1.009231,rule_002xrule_051,False
rule_031,0.0,0.0,320,0.984615,rule_002xrule_051,False
rule_032,0.0,0.0,322,0.990769,rule_002xrule_051,False
rule_033,0.73077873,0.921428,159,0.489231,rule_051xrule_024,False
rule_034,0.0,0.0,312,0.96,rule_051xrule_024,False
rule_035,0.0,0.0,32,0.098462,rule_051xrule_024,False
rule_036,0.00533432,0.750023,4165,12.815385,rule_051xrule_024,False
rule_037,0.0,0.0,17,0.052308,rule_051xrule_024,False
rule_038,0.29915191,0.366321,171,0.526154,rule_051xrule_024,True
rule_039,0.02200701,1.719087,3179,9.781538,rule_051xrule_024,False
rule_040,0.00468058,0.671446,4204,12.935385,rule_051xrule_024,False
rule_041,0.01160834,0.747131,2912,8.96,rule_051xrule_024,False
rule_042,0.0,0.0,314,0.966154,rule_051xrule_024,False
rule_043,0.0,0.0,285,0.876923,rule_051xrule_024,False
rule_044,0.0,0.0,311,0.956923,rule_051xrule_024,False
rule_045,0.0,0.0,36,0.110769,rule_051xrule_024,False
rule_046,0.0,0.0,312,0.96,rule_051xrule_024,False
rule_047,0.0,0.0,130,0.4,rule_051xrule_024,False
rule_048,0.0,0.0,170,0.523077,rule_051xrule_024,False
rule_049,0.01140958,0.732105,2908,8.947692,rule_051xrule_024,False
rule_050,0.48783843,1.684427,834,2.566154,rule_051xrule_024,False
rule_051,0.0,0.0,166,0.510769,rule_051xrule_024,False
rule_052,0.70031208,0.702706,306,0.941538,rule_051xrule_024,False
rule_053,0.0,0.0,283,0.870769,rule_051xrule_024,False
rule_054,0.01452187,1.354574,3447,10.606154,rule_051xrule_024,False
rule_055,0.47015252,1.596333,828,2.547692,rule_051xrule_024,False
rule_056,0.00668466,0.008128,174,0.535385,rule_051xrule_024,False
rule_057,0.0,0.0,445,1.369231,rule_051xrule_024,False
rule_058,0.0,0.0,323,0.993846,rule_051xrule_024,False
rule_059,0.0,0.0,18,0.055385,rule_051xrule_024,False
rule_060,0.0,0.0,18,0.055385,rule_051xrule_024,False
rule_061,0.0,0.0,130,0.4,rule_051xrule_024,False
rule_062,0.0,0.0,128,0.393846,rule_051xrule_024,False
rule_063,0.0,0.0,400,1.230769,rule_051xrule_024,False
rule_064,0.0,0.0,134,0.412308,rule_051xrule_024,False
rule_065,0.01140958,0.732105,2908,8.947692,rule_051xrule_024,False
rule_066,0.0,0.0,158,0.486154,rule_024xrule_002,False
rule_067,0.0,0.0,308,0.947692,rule_024xrule_002,True
rule_068,0.0,0.0,170,0.523077,rule_024xrule_002,True
rule_069,0.0,0.0,313,0.963077,rule_024xrule_002,False
rule_070,0.0,0.0,155,0.476923,rule_024xrule_002,True
