rule_id,fitness,late_displacement,final_bits,final_objects,chaotic,viable
rule_000,0.0,0.0,325,72,False,False
rule_001,0.00010813,0.918208,8494,394,True,False
rule_002,0.0,0.0,325,72,False,False
rule_003,0.0,0.0,184,72,False,False
rule_004,0.0,0.0,176,135,False,False
rule_005,0.0,0.0,325,72,False,False
rule_006,8.175e-05,0.432465,5609,67,True,False
rule_007,0.0,0.0,325,72,False,False
rule_008,0.0,0.0,328,72,False,False
rule_009,0.0,0.0,325,72,False,False
rule_010,0.00020414,1.228499,6325,55,True,False
rule_011,0.0,0.0,325,72,False,False
rule_012,0.0,0.0,480,72,False,False
rule_013,0.00121878,2.106048,2051,71,True,False
rule_014,8.296e-05,0.439702,5607,55,True,False
rule_015,0.0,0.0,322,72,False,False
rule_016,0.0,0.0,177,74,False,False
rule_017,0.0,0.0,312,78,False,False
rule_018,0.0,0.0,325,72,False,False
rule_019,0.0,0.0,324,72,False,False
rule_020,0.0,0.0,327,72,False,False
rule_021,0.0,0.0,480,72,False,False
rule_022,0.0,0.0,325,72,False,False
rule_023,0.0,0.0,325,72,False,False
rule_024,0.0,0.0,482,71,False,False
rule_025,0.00020918,1.250915,6192,184,True,False
rule_026,0.00020407,1.229533,6330,53,True,False
rule_027,8.292e-05,0.439904,5610,53,True,False
rule_028,0.0,0.0,175,74,False,False
rule_029,0.0,0.0,317,72,False,False
rule_030,0.00016281,0.84987,5491,125,True,False
rule_031,0.0,0.0,325,75,False,False
rule_032,0.0,0.0,184,72,False,False
rule_033,0.0,0.0,325,72,False,False
rule_034,0.0,0.0,480,72,False,False
rule_035,0.0,0.0,325,72,False,False
rule_036,0.0,0.0,478,72,False,False
rule_037,0.0,0.0,326,72,False,False
rule_038,0.0,0.0,325,72,False,False
rule_039,0.0,0.0,325,72,False,False
rule_040,0.0,0.0,332,72,False,False
rule_041,0.0,0.0,332,134,False,False
rule_042,0.0,0.0,319,72,False,False
rule_043,0.0,0.0,323,74,False,False
rule_044,0.0,0.0,312,78,False,False
rule_045,0.0,0.0,319,72,False,False
rule_046,0.0,0.0,325,72,False,False
rule_047,0.0,0.0,327,72,False,False
rule_048,4.702e-05,0.267929,5995,45,True,False
rule_049,2.396e-05,0.129712,5705,39,True,False
rule_050,6.9e-05,0.533526,8022,38,True,False
rule_051,0.0,0.0,174,71,False,False
rule_052,0.0,0.0,326,71,False,False
rule_053,0.0,0.0,315,76,False,False
rule_054,0.0,0.0,10418,129,True,False
rule_055,0.0,0.0,323,73,False,False
rule_056,0.0,0.0,332,72,False,False
rule_057,0.0,0.0,325,72,False,False
rule_058,0.0,0.0,324,72,False,False
rule_059,8.286e-05,0.439396,5609,54,True,False
rule_060,0.0,0.0,325,72,False,False
rule_061,0.0,0.0,325,72,False,False
rule_062,0.0,0.0,166,136,False,False
rule_063,0.0,0.0,323,72,False,False
rule_064,0.00020335,1.225769,6334,54,True,False
rule_065,0.00011849,0.778861,6782,187,True,False
rule_066,0.0,0.0,184,72,False,False
rule_067,0.0,0.0,319,72,False,False
rule_068,8.296e-05,0.439702,5607,55,True,False
rule_069,0.0,0.0,327,71,False,False
rule_070,0.00012182,0.807757,6910,27,True,False
rule_071,0.0,0.0,315,72,False,False
rule_072,0.0,0.0,325,72,False,False
rule_073,0.0,0.0,325,72,False,False
rule_074,0.0,0.0,492,71,False,False
rule_075,0.0,0.0,325,72,False,False
rule_076,0.0,0.0,325,72,False,False
rule_077,0.0,0.0,168,72,False,False
rule_078,0.0,0.0,325,72,False,False
rule_079,0.0,0.0,325,72,False,False
rule_080,0.0,0.0,325,72,False,False
rule_081,0.0,0.0,313,78,False,False
rule_082,0.0,0.0,173,140,False,False
rule_083,0.0,0.0,325,72,False,False
rule_084,0.0,0.0,314,78,False,False
rule_085,0.0,0.0,325,72,False,False
rule_086,0.0,0.0,324,72,False,False
rule_087,0.0,0.0,325,72,False,False
rule_088,0.0,0.0,287,89,False,False
rule_089,0.0,0.0,318,72,False,False
rule_090,0.0,0.0,325,72,False,False
rule_091,0.0,0.0,326,72,False,False
rule_092,0.0,0.0,325,72,False,False
rule_093,0.0,0.0,330,72,False,False
rule_094,0.0,0.0,332,72,False,False
rule_095,0.0,0.0,325,73,False,False
rule_096,0.0,0.0,319,72,False,False
rule_097,0.0,0.0,339,71,False,False
rule_098,0.0,0.0,325,72,False,False
rule_099,0.0,0.0,325,72,False,False
